State,year_2018,year_2019,year_2020,year_2021,year_2022,STE
New South Wales,850.67,441.05,357.80,297.92,280.67,1
Queensland,457.13,214.05,286.33,436.60,244.67,3
South Australia,295.28,327.29,307.40,448.48,438.31,4
Tasmania,286.76,331.54,336.82,277.64,292.60,6
Victoria,343.44,452.80,463.22,333.73,303.47,2
Western Australia,234.67,244.86,381.22,371.25,277.97,5
